GPSX,GPSY,geometry
121.413312,31.221417,POINT (121.413312 31.221417)
121.473117,31.235174,POINT (121.473117 31.235174)
121.309681,30.887619,POINT (121.309681 30.887619)
121.414264,31.209565,POINT (121.414264 31.209565)
121.27797,31.205002,POINT (121.27797 31.205002)
121.371051,31.209628,POINT (121.371051 31.209628)
121.461751,31.217051,POINT (121.461751 31.217051)
121.555917,31.229293,POINT (121.555917 31.229293)
121.469708,31.216513,POINT (121.469708 31.216513)
121.333475,30.733361,POINT (121.333475 30.733361)
121.447183,31.2306,POINT (121.447183 31.2306)
121.454629,31.219095000000006,POINT (121.454629 31.21909500000001)
121.419363,31.211369,POINT (121.419363 31.211369)
121.439309,31.209836,POINT (121.439309 31.209836)
121.466422,31.23289,POINT (121.466422 31.23289)
121.4128,31.207712,POINT (121.4128 31.207712)
121.360841,31.150477,POINT (121.360841 31.150477)
121.547917,31.226751,POINT (121.547917 31.226751)
121.346468,31.315184,POINT (121.346468 31.315184)
121.403198,31.209119,POINT (121.403198 31.209119)
121.469722,31.217092,POINT (121.469722 31.217092)
121.468368,31.194008,POINT (121.468368 31.194008)
121.506671,31.264083000000007,POINT (121.506671 31.26408300000001)
121.402802,31.212185,POINT (121.402802 31.212185)
121.426064,31.185416,POINT (121.426064 31.185416)
121.437623,31.181872,POINT (121.437623 31.181872)
121.456438,31.231742,POINT (121.456438 31.231742)
121.555609,31.229184000000004,POINT (121.555609 31.229184)
121.48592,31.208384,POINT (121.48592 31.208384)
121.443735,31.227743,POINT (121.443735 31.227743)
121.441771,31.22691,POINT (121.441771 31.22691)
121.443525,31.224165000000006,POINT (121.443525 31.22416500000001)
121.266468,31.16811,POINT (121.266468 31.16811)
121.58746399999998,31.246354,POINT (121.587464 31.246354)
121.46049,31.234339,POINT (121.46049 31.234339)
121.452198,31.212226,POINT (121.452198 31.212226)
121.402383,31.208617,POINT (121.402383 31.208617)
121.479552,31.277858,POINT (121.479552 31.277858)
121.444572,31.225590000000004,POINT (121.444572 31.22559)
121.423978,31.219527000000006,POINT (121.423978 31.21952700000001)
121.43947,31.228446,POINT (121.43947 31.228446)
121.527966,31.288997,POINT (121.527966 31.288997)
121.437033,31.230407,POINT (121.437033 31.230407)
121.441839,31.226941,POINT (121.441839 31.226941)
121.44938799999998,31.208444,POINT (121.449388 31.208444)
121.465475,31.221147,POINT (121.465475 31.221147)
121.444697,31.206665,POINT (121.444697 31.206665)
121.425296,31.161293,POINT (121.425296 31.161293)
121.44959,31.21826,POINT (121.44959 31.21826)
121.500478,31.210614,POINT (121.500478 31.210614)
121.41768799999998,31.286295000000006,POINT (121.417688 31.28629500000001)
121.489609,31.232658,POINT (121.489609 31.232658)
121.341519,31.196282,POINT (121.341519 31.196282)
121.345579,31.158043,POINT (121.345579 31.158043)
121.464116,31.207763,POINT (121.464116 31.207763)
121.438549,31.219864,POINT (121.438549 31.219864)
121.15941,31.289726,POINT (121.15941 31.289726)
121.574698,31.11884,POINT (121.574698 31.11884)
121.4852,31.240408,POINT (121.4852 31.240408)
121.531294,31.237518,POINT (121.531294 31.237518)
121.261878,31.328158,POINT (121.261878 31.328158)
121.377705,31.234781,POINT (121.377705 31.234781)
121.207251,31.420058,POINT (121.207251 31.420058)
121.699017,31.19978,POINT (121.699017 31.19978)
121.445655,31.212406,POINT (121.445655 31.212406)
121.455459,31.216968,POINT (121.455459 31.216968)
121.486807,31.234472,POINT (121.486807 31.234472)
121.436524,31.025474,POINT (121.436524 31.025474)
121.444824,31.34151,POINT (121.444824 31.34151)
121.470471,31.219683000000003,POINT (121.470471 31.219683)
121.452848,31.187777,POINT (121.452848 31.187777)
121.495498,31.228358,POINT (121.495498 31.228358)
121.431351,31.227009,POINT (121.431351 31.227009)
121.770361,31.051108000000006,POINT (121.770361 31.05110800000001)
121.443615,31.325339000000003,POINT (121.443615 31.325339)
121.447443,31.228433000000006,POINT (121.447443 31.22843300000001)
121.512999,31.225,POINT (121.512999 31.225)
121.411096,31.189794,POINT (121.411096 31.189794)
121.445757,31.22163,POINT (121.445757 31.22163)
121.469667,31.216467,POINT (121.469667 31.216467)
121.483205,31.242938,POINT (121.483205 31.242938)
121.560276,31.214592,POINT (121.560276 31.214592)
121.40252,31.193308,POINT (121.40252 31.193308)
121.188209,31.045474,POINT (121.188209 31.045474)
121.314556,31.138232,POINT (121.314556 31.138232)
121.434503,31.194340000000004,POINT (121.434503 31.19434)
121.50874,31.143578,POINT (121.50874 31.143578)
121.44951299999998,31.213528000000004,POINT (121.449513 31.213528)
121.338662,31.080379,POINT (121.338662 31.080379)
121.202002,31.049573,POINT (121.202002 31.049573)
121.445235,31.225826,POINT (121.445235 31.225826)
121.382589,31.109895,POINT (121.382589 31.109895)
121.486376,31.246686,POINT (121.486376 31.246686)
121.213657,31.040599,POINT (121.213657 31.040599)
121.214374,31.051683,POINT (121.214374 31.051683)
121.503391,31.332457,POINT (121.503391 31.332457)
121.486542,31.256746000000003,POINT (121.486542 31.256746)
121.299167,31.160468,POINT (121.299167 31.160468)
121.31583899999998,31.291696,POINT (121.315839 31.291696)
121.309833,31.176543,POINT (121.309833 31.176543)
121.323067,31.196092,POINT (121.323067 31.196092)
121.559494,31.214663,POINT (121.559494 31.214663)
121.419409,31.195966,POINT (121.419409 31.195966)
121.398707,31.207042,POINT (121.398707 31.207042)
121.397528,31.21084,POINT (121.397528 31.21084)
121.64968,31.027613,POINT (121.64968 31.027613)
121.444998,31.210420000000006,POINT (121.444998 31.21042000000001)
121.448382,31.232485,POINT (121.448382 31.232485)
121.287288,31.171375,POINT (121.287288 31.171375)
121.471741,31.234597,POINT (121.471741 31.234597)
121.19762,31.041744,POINT (121.19762 31.041744)
121.387648,31.202367,POINT (121.387648 31.202367)
121.45432,30.908155,POINT (121.45432 30.908155)
121.498396,30.842456,POINT (121.498396 30.842456)
121.416361,31.220367,POINT (121.416361 31.220367)
121.43799,31.224681,POINT (121.43799 31.224681)
121.601892,31.263675,POINT (121.601892 31.263675)
121.530028,31.179915,POINT (121.530028 31.179915)
121.624194,31.215212,POINT (121.624194 31.215212)
